anio,periodo_cubierto,clasificacion,canal,monto_millones_usd,pct_del_total_anual,total_remesas_anio_millones_usd,desglose_disponible,serie_bcr,fuente,unidad,url_fuente,datos_actualizados_hasta,fecha_publicacion_ultimo_dato,fecha_consulta,nota
2019,Enero-Diciembre,Agente liquidador (canal de recepcion),Billeteras digitales de criptomonedas,0.00,0.00,5656.18,No,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,"SIN DESGLOSE DISPONIBLE: el canal no existia en la estadistica del BCR. La serie de billeteras digitales de criptomonedas inicia en septiembre de 2021 (primer dato: 1.99 MM US$), tras la entrada en vigencia de la Ley Bitcoin. El 0.00 no es un dato observado sino ausencia del canal"
2019,Enero-Diciembre,Agente liquidador (canal de recepcion),Efectivo o bolsillo,100.25,1.77,5656.18,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2019,Enero-Diciembre,Agente liquidador (canal de recepcion),Instituciones bancarias,2266.03,40.06,5656.18,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2019,Enero-Diciembre,Agente liquidador (canal de recepcion),Otras empresas remesadoras,3265.40,57.73,5656.18,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2019,Enero-Diciembre,Agente liquidador (canal de recepcion),Recargas a telefonos moviles,24.49,0.43,5656.18,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2020,Enero-Diciembre,Agente liquidador (canal de recepcion),Billeteras digitales de criptomonedas,0.00,0.00,5929.93,No,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,"SIN DESGLOSE DISPONIBLE: el canal no existia en la estadistica del BCR. La serie de billeteras digitales de criptomonedas inicia en septiembre de 2021 (primer dato: 1.99 MM US$), tras la entrada en vigencia de la Ley Bitcoin. El 0.00 no es un dato observado sino ausencia del canal"
2020,Enero-Diciembre,Agente liquidador (canal de recepcion),Efectivo o bolsillo,33.12,0.56,5929.93,Parcial,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,COBERTURA PARCIAL: sin dato de abril a agosto de 2020. La estimacion se basa en encuestas en EE.UU. interrumpidas por la pandemia; el monto anual corresponde solo a 7 meses y no es comparable con otros anios
2020,Enero-Diciembre,Agente liquidador (canal de recepcion),Instituciones bancarias,2236.94,37.72,5929.93,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2020,Enero-Diciembre,Agente liquidador (canal de recepcion),Otras empresas remesadoras,3634.43,61.29,5929.93,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
2020,Enero-Diciembre,Agente liquidador (canal de recepcion),Recargas a telefonos moviles,25.45,0.43,5929.93,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,
